id,name,lastBackup,url
"295515750564317","Hackers at EPFL",2014-05-07T16:01:59Z,"hackepfl"
"491311300959981","المكتب الإعلامي الرسمي لأبناء الجولان والقنيطرة للحراك الثوري والعسكري",2014-05-07T14:04:17Z,"491311300959981"
"309212095826510","دولتي",2014-05-07T14:05:24Z,"dawlaty.org"
"300181323421463","الناشط علي احمد ياسين الصفحة الرسمية",2014-05-07T16:01:33Z,"ali.ahmaed.yasen"
"124245714420564","مكتب النخبة الإعلامي بديرالزور",2014-05-07T14:02:53Z,"nokhbaderezzor"
"470012823084803","لكي لاننسى البطل ابو قاسم القيطاوي",2014-05-07T16:01:34Z,"470012823084803"
"527877683899730","كتيبة شهداء قيطة",2014-05-07T14:08:58Z,"527877683899730"
"188166938048153","تنسيقية مدينة إنخل",2014-05-07T14:04:30Z,"inkhelcity"
"100000063934079","Олександр Аронець",2014-05-07T14:02:51Z,"oleksandr.aronets"
"556163381134508","المسيفرة اون لاين",2014-05-07T14:12:38Z,"musifrah.online"
"172216772946804","المكتب الاعلامي الموحدلمنطقة الجيدور",2014-05-07T14:10:34Z,"aljedor"
"175743732624093","Ghabaghib Media Office",2014-05-07T14:10:48Z,"GhabaghibMedia"
"268819249891028","شبكة أخبار ثوار طفس Tafas rebels News network",2014-05-07T14:04:59Z,"Shabakt.Akhbar.Shabab.Tafas"
"320205531409052","ننتصر او نستشهد ( شباب البالتوك )",2014-05-07T14:04:04Z,"Nantaser.Ao.Nastashhed"
"214243722110549","Just one day",2014-05-07T14:02:53Z,"214243722110549"
"591142617606635","الناشط أبو مصطفى البانياسي",2014-05-07T16:02:39Z,"abo.most.banyase"
"1438838666332560","شبكة أخبار ثوار بسقلا",2014-05-07T14:03:31Z,"1438838666332560"
"1431818520367345","تنسيقية حمص-حي الرفاعي",2014-05-07T14:04:23Z,"HOMS.ALREFAE"
"731771926850844","اللاجئون السورين في لبنان",2014-05-07T14:04:25Z,"ksston"
"266179230212388","Martyrs Of Daraa",2014-05-07T14:02:42Z,"2MartyrsOfDaraa"
"155454891269868","شهداء مدينة إنخل في ثورة الكرامة",2014-05-07T14:13:19Z,"inn.Martyrs"
"1423231177906011","جـــمـــعــــيـــــة شـــــام الـــــخــــيــــريـــــة",2014-05-07T14:12:33Z,"Association.Cham.charity"
"343344422432915","قوات الدفاع الوطني في محافظة السويداء National  Defense  Forces in ""Sweida",2014-05-07T14:03:03Z,"N.D.F.Swaida"
"416888841752679","رابطة محبي قوات الدفاع الوطني-Association of National Defense Forces lovers",2014-05-07T14:10:52Z,"416888841752679"
"570617062995384","إعلام الدفاع الوطني باللاذقية و ريفها",2014-05-07T16:02:13Z,"NATIONAL.DEFENSE.LATTAKIA"
"310178745785238","قوات الدفاع الوطني - حلب",2014-05-07T14:03:13Z,"aleppo.ndf"
"153489011518458","الدفاع الوطني - مركز طرطوس",2014-05-07T14:03:59Z,"ndfmediatar"
"442601962473872","أسود الدفاع الوطني في حماه",2014-05-07T14:02:49Z,"Hama.National.Defence"
"197059693773832","قوات الدفاع الوطني - فوج الشهيد سعد زمام",2014-05-07T14:04:03Z,"SaadZamam"
"134564103411802","قوات الدفاع الوطني . مركز الجولان . كتيبة الشهيد جواد أنزور",2014-05-07T16:01:09Z,"JwadAnzorBattalion"
"642022059171193","الدفاع الوطني - حمص وريفها",2014-05-07T14:02:51Z,"national.defense.homs"
"1620271184","Flavio Bernardotti",2014-05-07T14:11:08Z,"Flavio58"
"1420104071537329","شهداء الدفاع الوطني في سورية",2014-05-07T14:05:29Z,"N.D.Martyrs"
"458282330893796","الدفاع الوطني - مركز دمشق .الصفحة الرسمية",2014-05-07T16:02:45Z,"National.Defense.Dm"
"377118532417380","لواء درع الثورة",2014-05-07T16:02:44Z,"377118532417380"
"496164027143100","صوت المعتقلين Detainees' voice",2014-05-07T14:03:29Z,"detaineesvoice"
"164023030458306","الدفاع الوطني في السقيلبية",2014-05-07T16:01:09Z,"National.Defense.in.sqelpyah"
"641563032526099","Shahba Press Agency",2014-05-07T14:02:43Z,"SHahba.EN"
"697679590261319","وكالة شهبا برس الاخبارية",2014-05-07T14:04:03Z,"SHahba.Agency"
"199077356806843","See more",2014-05-07T14:10:11Z,"seewaymore"
"434107746644596","الصفحة الكبرى للدفاع الوطني National Defense",2014-05-07T14:11:42Z,"National.Defence.Forces.NDF"
